Date,Close,Open,High,Low,Volume
2018-05-09,13584.80,13655.20,13813.50,13549.60,12680000
2018-05-10,14587.80,14570.20,14746.20,14499.80,16560000
2018-05-11,14077.50,13936.70,14077.50,13901.50,6120000
2018-05-12,12423.40,12089.00,12493.80,12053.90,22150000
2018-05-14,14027.20,14102.60,14152.90,13826.10,10730000
2018-05-15,13926.70,14052.40,14127.80,13876.40,9520000
2018-05-16,13574.70,13851.30,14127.80,13549.60,12050000
2018-05-17,13323.30,13574.70,13625.00,13273.10,15780000
2018-05-18,13549.60,13373.60,13549.60,13197.70,14350000
2018-05-21,13373.60,13700.40,13725.60,13373.60,9070000
2018-05-22,12694.90,13298.20,13323.30,12694.90,24150000
2018-05-23,12996.50,12644.60,13072.00,12644.60,12620000
2018-05-24,13172.50,13072.00,13172.50,12971.40,13990000
2018-05-25,13097.10,13172.50,13398.80,13021.70,2050000
2018-05-28,12242.40,12720.00,13072.00,12242.40,20340000
2018-05-29,13072.00,12242.40,13097.10,12242.40,1910000
2018-05-30,13273.10,13097.10,13423.90,12795.40,24160000
2018-05-31,14102.60,13298.20,14102.60,13273.10,35390000
2018-06-04,15183.60,14756.20,15183.60,14706.00,18780000
2018-06-06,15284.10,14881.90,15334.40,14706.00,23240000
2018-06-07,12951.30,12687.30,13303.20,12388.20,14450000
2018-06-08,12722.50,12792.90,12792.90,12529.00,12720000
2018-06-09,13602.40,13584.80,13795.90,13549.60,12280000
2018-06-11,13936.70,14112.70,14130.30,13936.70,4650000
2018-06-12,12177.00,12353.00,12458.60,12141.80,12680000
2018-06-13,15274.10,14922.10,15344.50,14886.90,10040000
2018-06-14,14992.50,15414.90,15643.60,14974.90,180000
2018-06-15,15133.30,14957.30,15133.30,14711.00,1320000
2018-06-18,14147.90,15027.70,15027.70,14147.90,20230000
2018-06-19,13496.80,13655.20,13901.50,13197.60,36040000
2018-06-20,14077.50,13725.60,14077.50,13303.20,15790000
2018-06-21,13813.50,14059.90,14059.90,13725.60,10620000
2018-06-22,14411.80,13725.60,14411.80,13655.20,19650000
2018-06-25,14605.40,14781.40,14834.20,14447.00,9480000
2018-06-26,14464.60,14288.70,14482.20,14077.50,7320000
2018-06-27,13901.50,14394.20,14482.20,13901.50,9240000
2018-06-28,13672.80,13655.20,14007.10,13584.80,11660000
